trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield,label
2019-10-29,603129.SH,31.08,31.17,29.28,30.0,30.7,-0.7,-2.2801,40449.08,121867.726,0.22,1.0
2019-10-29,000951.SZ,15.92,16.53,15.81,16.34,16.21,0.13,0.802,84571.01,137641.735,0.22,1.0
2019-10-29,002901.SZ,48.71,51.0,48.21,49.9,48.98,0.92,1.8783,24096.42,120407.498,0.22,1.0
2019-10-29,002065.SZ,7.82,7.84,7.48,7.48,7.82,-0.34,-4.3478,1100196.17,845820.1009999998,0.22,1.0
2019-10-29,002624.SZ,28.9,28.9,28.35,28.51,28.78,-0.27,-0.9382,58800.07,168233.218,0.22,1.0
2019-10-29,000786.SZ,18.97,19.05,18.53,18.8,19.02,-0.22,-1.1567,112037.97,210797.684,0.21,1.0
2019-10-29,600673.SH,7.49,7.63,7.39,7.53,7.49,0.04,0.534,173936.99,131046.232,0.21,1.0
2019-10-29,002502.SZ,2.88,2.88,2.76,2.77,2.88,-0.11,-3.8194,94305.0,26573.912,0.21,1.0
2019-10-29,300643.SZ,9.21,9.24,8.98,8.99,9.24,-0.25,-2.7056,20239.22,18410.583,0.21,1.0
2019-10-29,000800.SZ,8.24,8.32,8.16,8.24,8.24,0.0,0.0,62796.09,51847.383,0.21,1.0
2019-10-29,002460.SZ,21.73,22.34,21.61,21.96,21.8,0.16,0.7339,166580.78,365964.081,0.21,1.0
2019-10-29,300486.SZ,15.52,15.94,15.26,15.31,15.52,-0.21,-1.3531,13422.0,20952.93,0.2,1.0
2019-10-29,603378.SH,16.49,16.49,15.81,16.03,16.47,-0.44,-2.6715,41247.01,66484.359,0.2,1.0
2019-10-29,002605.SZ,13.55,14.16,13.31,13.62,13.6,0.02,0.1471,85115.05,116647.674,0.2,1.0
2019-10-29,000818.SZ,8.76,8.92,8.62,8.63,8.76,-0.13,-1.484,73298.16,64206.773,0.2,1.0
2019-10-29,002812.SZ,32.95,33.96,32.69,33.4,32.9,0.5,1.5198,63844.91,213687.711,0.2,1.0
2019-10-29,000835.SZ,4.04,4.11,3.98,3.98,4.05,-0.07,-1.7284,35040.0,14173.895,0.2,1.0
2019-10-29,000625.SZ,7.43,7.48,7.33,7.35,7.42,-0.07,-0.9434,112897.21,83518.69900000001,0.2,1.0
2019-10-29,603121.SH,22.0,22.15,20.81,20.89,21.96,-1.07,-4.8725,79492.0,170684.206,0.2,1.0
2019-10-29,300548.SZ,53.9,53.9,51.14,51.43,53.5,-2.07,-3.8692,16270.09,84483.62199999999,0.2,1.0
2019-10-29,603786.SH,41.93,42.87,39.77,39.82,42.52,-2.7,-6.35,87024.74,358295.6370000001,0.19,1.0
2019-10-29,002918.SZ,15.3,15.34,14.6,14.84,15.34,-0.5,-3.2595,43801.42,65394.822,0.19,1.0
2019-10-29,300192.SZ,13.88,14.24,13.02,13.08,14.04,-0.96,-6.8376,199811.12,268656.298,0.19,1.0
