,5折交叉验证准确率,训练准确率,测试准确率
0,56.6,61.52,58.48
1,56.6,61.01,60.53
2,56.6,58.96,68.71
3,56.6,60.28,63.45
4,56.6,60.28,63.45
5,56.6,60.2,63.74
6,56.6,60.5,62.57
7,56.6,61.74,57.6
8,56.6,61.3,58.48
9,56.6,60.57,62.28
10,56.6,60.35,63.16
11,56.6,62.25,57.6
12,56.89,61.38,59.06
13,56.6,60.86,61.11
14,56.89,60.64,64.04
15,56.6,61.16,59.94
16,56.89,60.28,61.7
17,56.89,61.45,60.82
18,56.89,61.01,58.19
19,56.89,61.3,59.36
20,56.89,60.13,63.16
21,56.89,59.77,64.62
22,57.18,60.94,61.11
23,57.18,61.23,62.87
24,57.18,61.23,59.94
25,57.18,61.74,59.65
26,57.18,60.64,61.99
27,57.18,60.94,59.94
28,57.18,59.84,64.04
29,57.18,60.35,59.94
30,57.18,61.59,57.6
31,57.18,61.23,59.65
32,57.18,62.33,57.89
33,57.18,62.47,61.4
34,57.18,60.94,58.77
35,57.18,60.94,59.65
36,57.18,61.08,62.57
37,57.18,60.35,61.7
38,57.18,61.3,57.89
39,57.18,61.23,60.82
40,57.18,61.59,59.65
41,57.18,60.2,61.99
42,57.18,62.4,59.36
43,57.18,61.96,59.65
44,57.18,60.64,61.4
45,57.18,61.59,56.43
46,57.18,60.5,63.74
47,57.18,62.4,56.73
48,57.18,60.2,64.04
49,57.18,61.74,61.11
50,57.18,60.5,64.62
51,57.18,60.79,60.82
52,57.18,61.3,59.94
53,57.18,62.55,63.45
54,57.18,61.23,61.4
55,57.18,61.23,59.94
56,57.18,61.16,64.04
57,57.18,60.72,61.7
58,57.18,61.3,58.19
59,57.18,61.52,58.19
60,57.18,60.72,61.99
61,57.18,61.67,61.11
62,57.18,61.08,63.16
63,57.18,61.08,61.4
64,57.18,62.25,57.89
65,57.18,61.01,60.53
66,57.18,61.59,58.77
67,57.18,61.3,59.94
68,57.18,61.81,56.14
69,57.18,61.67,58.48
70,57.18,60.64,62.28
71,57.18,62.55,57.02
72,57.18,60.94,59.65
73,57.18,62.55,53.51
74,57.18,60.35,64.33
75,57.18,60.94,61.11
76,57.18,61.08,61.7
77,57.18,61.08,63.16
78,57.18,61.3,61.7
79,57.18,61.23,61.4
80,57.18,61.96,61.11
81,57.18,60.72,61.7
82,57.18,60.28,64.33
83,57.18,60.86,63.45
84,57.18,61.74,60.53
85,57.18,62.47,59.06
86,57.18,61.74,57.6
87,57.18,61.81,61.99
88,57.18,61.74,61.99
89,57.18,61.16,60.23
90,57.18,61.96,62.28
91,57.18,61.38,59.06
92,57.18,61.81,59.65
93,57.18,61.38,57.89
94,57.18,61.52,62.28
95,57.18,62.55,59.65
96,57.18,61.38,61.11
97,57.18,60.42,60.82
98,57.18,61.3,60.82
99,57.18,61.67,59.06
100,57.18,60.13,60.82
101,57.18,61.89,59.06
102,57.18,61.45,59.36
103,57.18,60.5,62.57
104,57.18,61.89,60.23
105,57.18,61.52,60.82
106,57.18,62.62,57.89
107,57.18,60.79,63.74
108,57.18,60.86,62.28
109,57.18,61.3,58.48
110,57.18,60.94,62.28
111,57.18,62.4,58.77
112,57.18,60.57,59.94
113,57.18,61.52,61.7
114,57.18,61.59,60.82
115,57.18,61.81,60.53
116,57.18,61.81,54.97
117,57.18,61.38,60.23
118,57.18,61.67,58.19
119,57.18,61.89,60.23
120,57.18,61.52,58.77
121,57.18,60.79,60.82
122,57.18,62.98,56.14
123,57.18,61.67,58.77
124,57.18,61.74,61.4
125,57.18,62.4,56.73
126,57.18,61.23,62.28
127,57.18,61.59,59.94
128,57.18,60.94,64.91
129,57.18,62.03,57.02
130,57.18,62.11,59.36
131,57.18,61.96,60.82
132,57.18,61.67,62.28
133,57.18,61.01,59.36
134,57.18,60.28,63.45
135,57.18,61.23,59.94
136,57.18,62.25,58.19
137,57.18,63.28,56.14
138,57.18,61.16,58.48
139,57.18,61.16,60.23
140,57.18,61.16,61.99
141,57.18,60.72,63.16
142,57.18,62.33,58.48
143,57.18,60.35,63.74
144,57.18,62.47,57.02
145,57.18,61.3,60.82
146,57.18,63.13,57.31
147,56.89,62.11,60.23
148,56.89,61.45,57.89
149,56.89,60.64,60.23
150,56.89,60.79,61.7
151,56.89,62.47,57.31
152,56.89,61.52,62.57
153,56.89,60.72,62.28
154,56.89,61.45,62.57
155,56.89,62.4,59.65
156,56.89,61.3,61.99
157,56.89,61.3,56.43
158,56.89,63.28,57.02
159,56.89,60.64,59.36
160,56.89,62.03,60.82
161,56.89,61.01,60.82
162,56.89,61.67,60.82
163,56.89,61.3,59.06
164,56.89,61.3,61.99
165,56.89,61.96,59.65
166,56.89,62.25,57.02
167,56.89,62.18,54.39
168,56.89,60.86,62.28
169,56.89,61.74,60.23
170,56.89,61.81,60.23
171,56.89,61.38,62.28
172,57.48,61.45,60.53
173,56.89,62.62,60.82
174,57.48,60.86,61.11
175,56.89,62.47,57.31
176,57.48,61.59,62.28
177,56.89,60.86,61.99
178,57.48,61.23,59.36
179,56.89,61.81,58.77
180,57.48,61.89,60.82
181,56.89,62.77,58.77
182,57.48,61.74,59.65
183,56.89,61.16,62.28
184,56.89,61.89,61.11
185,56.89,62.4,59.36
186,56.89,62.11,60.23
187,56.89,61.52,64.33
188,56.89,61.74,55.85
189,56.89,61.45,60.82
190,56.89,61.38,57.02
191,56.89,60.86,62.28
192,56.89,62.33,57.31
193,56.89,60.94,61.11
194,56.89,60.94,61.99
195,56.89,61.3,62.87
196,56.89,62.69,62.87
197,56.89,62.03,54.68
198,56.89,62.84,57.6
199,56.89,61.01,64.04
