,5折交叉验证准确率,训练准确率,测试准确率
0,53.8,55.08,55.39
1,7.6,55.88,52.19
2,54.68,55.08,52.77
3,54.68,57.49,58.89
4,54.68,56.03,56.27
5,54.68,60.41,53.64
6,57.89,57.63,55.98
7,54.68,58.0,58.6
8,54.68,43.61,43.15
9,54.68,56.54,56.56
10,54.68,58.66,58.31
11,54.68,59.68,58.6
12,54.68,57.93,57.73
13,54.68,58.66,51.31
14,59.36,58.8,57.14
15,58.19,58.58,53.35
16,51.17,59.17,56.85
17,57.89,59.82,55.1
18,59.06,61.5,58.89
19,58.19,59.9,54.81
20,59.06,59.9,56.85
21,58.19,58.14,57.43
22,59.36,59.53,58.02
23,58.19,59.02,48.4
24,59.36,59.17,59.18
25,57.89,59.61,57.43
26,59.06,58.95,59.48
27,57.89,60.99,58.31
28,59.06,60.92,56.85
29,57.31,58.88,53.06
30,59.06,60.19,57.43
31,57.31,59.9,62.39
32,59.06,59.53,55.1
33,57.6,59.53,60.93
34,59.36,59.75,59.48
35,56.73,59.82,58.6
36,57.31,61.29,54.23
37,56.73,60.34,55.98
38,59.36,60.12,58.89
39,57.02,60.41,59.18
40,59.06,59.68,56.85
41,56.73,59.82,58.31
42,59.06,60.48,54.81
43,57.31,60.63,58.89
44,59.06,58.73,60.06
45,57.31,60.41,57.73
46,59.06,59.97,58.6
47,57.02,60.26,60.06
48,59.06,59.02,63.56
49,57.02,59.75,57.14
50,59.06,60.19,58.02
51,57.02,59.09,53.94
52,59.06,60.77,58.31
53,57.02,58.8,58.02
54,59.06,59.97,58.31
55,57.02,59.68,60.35
56,59.06,60.19,56.27
57,57.02,60.48,56.56
58,59.06,60.04,56.85
59,57.02,59.82,59.18
60,59.06,59.46,55.98
61,57.02,60.41,57.43
62,59.06,59.9,57.14
63,57.02,59.82,54.52
64,59.06,61.5,55.1
65,57.31,61.29,55.39
66,59.06,60.48,56.27
67,57.31,60.04,57.73
68,59.06,59.61,58.89
69,57.31,60.77,52.77
70,59.06,60.7,56.56
71,57.31,61.07,59.48
72,59.06,60.04,63.56
73,57.31,60.48,59.18
74,59.06,60.04,62.1
75,57.31,60.19,57.73
76,59.06,60.48,57.14
77,57.31,60.92,58.6
78,59.06,61.07,55.98
79,57.31,60.56,57.43
80,59.06,60.56,55.39
81,57.31,59.75,60.35
82,59.06,60.56,58.6
83,57.31,60.26,59.18
