,5折交叉验证准确率,训练准确率,测试准确率
0,61.29,61.52,58.48
1,61.29,60.64,61.99
2,61.29,61.52,58.48
3,61.29,59.84,61.7
4,61.29,60.94,60.82
5,61.29,61.45,58.77
6,61.29,61.23,59.65
7,61.29,60.64,61.99
8,61.29,61.38,59.06
9,61.29,61.89,57.02
10,61.29,61.01,61.11
11,61.29,61.67,57.89
12,61.29,60.06,64.33
13,61.29,61.45,58.77
14,61.29,61.01,60.23
15,61.29,61.23,59.65
16,61.29,61.52,59.65
17,61.58,60.94,59.65
18,61.58,60.57,61.99
19,61.29,61.67,58.48
20,61.29,60.64,62.57
21,61.29,62.03,59.94
22,61.29,62.03,59.94
23,61.58,61.74,58.19
24,61.29,61.16,59.94
25,61.29,62.03,56.14
26,61.88,61.38,58.48
27,61.29,62.4,55.26
28,61.29,60.5,63.16
29,61.29,61.96,60.23
30,61.29,61.89,56.14
31,61.29,61.01,60.82
32,61.29,61.16,60.53
33,61.29,61.52,59.36
34,61.29,60.86,60.53
35,61.58,61.08,59.06
36,61.58,60.94,61.4
37,61.58,60.57,59.94
38,61.58,61.45,54.97
39,61.58,62.25,57.6
40,61.58,62.4,58.48
41,61.88,60.72,60.53
42,61.58,60.94,64.33
43,61.88,61.52,59.06
44,61.58,61.96,58.77
45,61.88,61.96,54.09
46,61.88,60.5,59.94
47,61.88,61.01,61.7
48,61.88,61.59,60.82
49,61.88,61.01,58.77
50,61.58,62.98,55.56
51,61.58,61.01,62.28
52,61.58,62.4,57.89
53,61.58,61.59,59.06
54,61.58,61.96,59.94
55,61.58,61.81,59.06
56,61.58,60.64,63.16
57,61.58,61.67,57.89
58,61.58,61.38,59.36
59,61.58,60.72,61.11
60,61.58,59.99,61.4
61,61.58,61.08,64.62
62,61.58,61.16,60.53
63,61.58,59.69,66.08
64,61.58,62.11,59.06
65,61.88,61.89,56.73
66,61.88,63.86,52.05
67,61.88,61.59,61.7
68,61.88,61.23,58.48
69,61.88,62.25,58.19
70,61.88,61.38,59.65
71,61.88,61.52,59.06
72,61.88,62.25,59.36
73,61.88,62.25,56.73
74,61.88,61.45,58.77
75,61.88,62.4,59.36
76,61.88,61.45,63.74
77,61.88,62.18,57.31
78,61.88,61.08,61.7
79,61.88,61.67,58.48
80,61.88,61.38,59.06
81,61.88,61.74,58.77
82,61.88,60.57,61.4
83,61.88,61.96,55.26
84,61.88,62.03,58.48
85,61.88,62.03,59.94
86,61.88,59.77,64.62
87,61.88,60.72,61.99
88,61.88,61.67,58.77
89,61.88,62.33,56.14
90,61.88,63.06,56.73
91,61.88,61.96,56.43
92,61.88,61.23,60.82
93,61.88,62.55,53.51
94,61.88,61.45,59.94
95,61.88,60.94,57.6
96,61.88,61.23,59.65
97,61.88,61.67,57.31
98,61.88,62.11,59.36
99,61.88,61.38,59.36
100,62.17,61.67,59.36
101,61.88,61.38,58.77
102,62.17,61.59,59.65
103,61.88,62.11,61.7
104,62.17,60.79,61.7
105,62.17,62.11,58.48
106,61.88,61.89,59.06
107,62.17,61.45,59.94
108,61.88,60.94,59.36
109,62.17,59.77,64.62
110,61.88,62.18,56.43
111,62.17,61.3,58.19
112,61.88,61.16,60.53
113,62.17,62.55,57.02
114,61.88,61.89,57.31
115,62.17,61.45,57.02
116,61.88,62.98,58.77
117,62.17,61.81,57.89
118,61.88,62.33,59.06
119,62.17,61.45,59.36
120,61.88,61.45,60.53
121,62.17,62.11,60.23
122,61.88,62.69,57.31
123,62.17,61.3,59.65
124,61.88,60.94,61.11
125,62.17,62.47,59.65
126,61.88,60.06,62.87
127,62.17,61.89,61.99
128,61.88,62.55,58.48
129,62.17,61.01,61.4
130,61.88,61.67,57.6
131,62.17,61.3,65.2
132,61.88,61.08,62.28
133,62.17,61.52,56.43
134,61.88,61.59,58.48
135,61.88,61.52,60.23
136,62.46,61.81,57.02
137,61.88,62.25,59.36
138,62.46,61.96,59.36
139,61.88,61.01,60.82
140,62.46,62.4,60.23
141,61.88,62.47,57.6
142,62.46,61.45,58.77
143,61.88,62.4,58.19
144,62.46,61.16,60.53
145,61.88,62.11,52.92
146,62.46,61.01,60.23
147,61.88,61.3,59.65
148,62.46,60.79,62.87
149,61.88,61.08,61.11
150,62.46,61.52,55.85
151,61.88,60.72,61.7
152,62.46,61.3,60.23
153,61.88,61.23,60.53
154,62.46,60.94,64.04
155,61.88,62.25,55.56
156,62.46,61.16,61.99
157,61.88,60.86,61.99
158,62.46,61.96,56.14
159,61.88,61.45,58.19
160,62.46,62.98,57.02
161,61.88,61.16,61.11
162,62.46,62.69,53.22
163,61.88,61.96,57.02
164,62.46,61.23,64.33
165,61.88,61.08,56.73
166,62.46,61.3,60.23
167,61.88,61.16,65.79
168,62.46,59.99,64.62
169,62.46,61.59,58.77
170,62.17,62.91,57.02
171,62.46,61.16,61.11
172,62.17,61.38,58.48
173,62.46,61.59,58.77
174,62.17,61.3,59.36
175,62.46,62.69,54.39
176,62.46,61.01,63.74
177,62.46,60.28,63.45
178,62.46,61.81,59.94
179,62.46,63.28,56.73
180,62.46,62.18,61.11
181,62.46,61.81,62.57
182,62.46,61.45,57.6
183,62.46,61.23,59.36
184,62.46,60.79,59.36
185,62.46,61.3,60.82
186,62.46,61.67,57.89
187,62.46,61.59,56.43
188,62.46,62.84,56.43
189,62.46,61.3,64.04
190,62.46,60.28,64.91
191,62.46,61.52,62.28
192,62.46,62.18,59.94
193,62.46,61.74,57.6
194,62.46,60.94,55.85
195,62.46,62.4,55.56
196,62.46,62.77,53.8
197,62.46,61.16,60.82
198,62.46,62.11,59.65
199,62.46,63.2,51.46
