,5折交叉验证准确率,训练准确率,测试准确率
0,56.73,54.05,59.48
1,56.73,54.78,56.56
2,59.06,56.83,51.6
3,58.19,51.35,48.98
4,54.97,55.95,57.14
5,58.77,57.85,57.43
6,58.77,58.58,57.43
7,58.77,58.8,48.98
8,58.19,58.22,58.6
9,58.19,58.44,60.93
10,58.19,58.51,58.89
11,58.19,58.66,54.81
12,59.36,59.97,55.39
13,59.36,57.27,59.77
14,60.82,59.31,58.6
15,59.36,59.68,55.1
16,60.82,59.75,57.43
17,59.36,59.68,54.81
18,59.36,57.27,58.6
19,60.82,56.61,51.02
20,60.82,56.39,58.89
21,59.94,59.24,58.31
22,60.82,59.02,61.52
23,60.53,59.68,64.43
24,61.99,59.82,55.98
25,61.7,57.93,57.43
26,61.99,59.97,57.73
27,61.99,60.48,56.56
28,61.99,59.31,60.06
29,61.99,59.97,58.89
30,61.99,59.68,58.31
31,61.99,58.88,61.52
32,61.99,60.92,62.68
33,61.4,59.97,56.85
34,62.28,58.51,52.77
35,61.4,60.7,53.35
36,62.28,61.21,58.02
37,61.99,58.58,58.31
38,61.7,59.82,56.56
39,62.57,60.7,58.31
40,62.57,58.14,60.64
41,62.28,58.14,58.6
42,62.57,59.68,58.6
43,62.57,60.26,54.23
44,62.57,60.7,54.23
45,62.57,59.75,56.56
46,62.57,59.9,52.19
47,62.57,60.85,59.77
48,62.57,61.29,52.48
49,62.57,59.53,55.98
50,62.57,60.77,55.39
51,62.57,58.22,58.31
52,62.28,59.61,62.68
53,61.99,58.88,54.23
54,62.28,61.43,55.39
55,61.99,59.75,60.64
56,61.7,59.68,57.14
57,62.28,60.41,56.56
58,61.7,58.44,59.77
59,62.28,60.41,53.94
60,61.7,59.9,55.39
61,62.28,59.39,55.39
62,61.7,59.61,51.6
63,62.28,59.75,55.39
64,61.7,60.12,54.23
65,62.28,61.43,55.1
66,61.7,59.53,61.52
67,62.28,60.77,58.31
68,62.28,60.34,58.02
69,62.28,59.9,62.68
70,61.99,58.73,55.1
71,62.28,58.29,60.35
72,62.57,61.36,54.81
73,62.28,60.26,52.19
74,62.57,59.53,50.44
75,62.28,60.92,58.31
76,62.57,59.24,60.35
77,62.57,58.44,53.94
78,62.87,61.43,56.27
79,62.57,60.92,60.35
80,62.87,58.36,58.6
81,62.57,60.63,59.48
82,62.87,59.46,60.35
83,62.57,57.93,61.52
84,62.87,60.48,57.73
85,62.57,61.14,54.23
86,62.87,59.46,56.85
87,62.57,59.68,58.6
88,62.87,59.46,60.06
89,62.57,57.27,56.56
90,62.87,61.43,56.56
91,62.57,61.29,55.69
92,62.87,58.73,60.35
93,62.57,60.56,53.64
94,62.87,60.56,54.52
95,62.57,60.63,56.56
96,62.87,60.34,57.14
97,62.57,60.12,54.81
98,62.87,61.72,55.69
99,62.57,59.97,59.48
100,62.87,59.46,60.64
101,61.99,59.39,55.98
102,62.28,59.9,58.89
103,61.99,59.82,53.35
104,62.28,59.24,57.43
105,61.99,61.21,61.52
106,62.28,60.19,55.39
107,61.99,62.16,56.27
108,62.28,58.95,52.77
109,61.99,60.63,56.85
110,62.28,60.04,55.98
111,61.99,60.92,55.98
112,62.28,60.56,57.73
113,61.99,59.82,62.97
114,62.28,58.51,56.56
115,61.99,59.9,59.18
116,62.28,59.82,58.31
117,61.99,60.77,54.52
118,62.28,59.68,59.18
119,61.99,60.34,55.1
120,62.28,60.56,55.98
121,61.99,59.97,54.23
122,62.28,60.26,55.39
123,61.99,59.68,58.31
124,62.28,60.12,59.48
125,61.99,59.39,56.27
126,62.28,59.68,60.35
127,61.99,59.39,58.31
128,62.28,58.8,58.02
129,61.99,60.04,58.02
130,62.28,59.31,61.52
131,61.99,58.51,59.77
132,62.28,61.43,55.39
133,61.99,59.02,57.14
134,62.28,61.07,56.56
135,61.99,60.04,59.18
136,62.28,59.39,57.43
137,61.99,60.19,58.31
138,62.28,59.31,54.81
139,62.28,59.24,58.31
140,62.28,60.48,58.31
141,62.28,60.99,52.19
142,62.28,63.11,51.6
143,62.28,59.09,62.1
144,62.28,60.92,56.85
145,62.28,60.56,57.14
146,62.28,60.12,58.31
147,62.28,59.82,58.6
148,62.28,59.75,59.18
149,62.28,60.99,57.43
150,62.28,61.14,57.14
151,62.28,60.26,56.85
152,62.28,59.9,60.06
153,62.28,60.63,59.18
154,62.28,59.31,56.85
155,62.28,59.17,58.02
156,62.28,58.95,57.73
157,62.28,60.7,57.73
158,62.28,60.34,58.89
159,62.28,59.24,60.64
160,62.28,58.58,58.89
