,5折交叉验证准确率,训练准确率,测试准确率
0,54.88,55.11,54.65
1,54.88,54.95,55.55
2,54.88,54.97,55.43
3,55.19,55.19,55.55
4,55.19,55.38,54.77
5,55.19,55.06,56.05
6,55.19,55.37,54.84
7,55.19,55.27,55.22
8,55.19,55.24,55.96
9,55.35,55.06,53.45
10,55.35,55.34,55.74
11,55.35,55.3,55.98
12,55.35,55.53,56.03
13,55.35,55.28,56.07
14,55.35,54.82,57.94
15,55.47,55.8,54.98
16,55.47,55.63,55.39
17,55.47,55.7,55.32
18,55.47,55.56,55.88
19,55.47,55.42,56.0
20,55.47,55.33,56.12
21,55.47,55.72,54.77
22,55.42,55.82,54.87
23,55.47,55.71,55.29
24,55.42,55.56,55.91
25,55.47,55.69,55.29
26,55.47,55.8,54.84
27,55.47,55.56,55.93
28,55.42,55.71,55.17
29,55.47,55.4,56.62
30,55.42,55.69,55.65
31,55.42,55.3,57.09
32,55.42,55.37,56.71
33,55.42,55.66,55.51
34,55.42,55.7,55.17
35,55.45,55.56,55.55
36,55.45,55.46,56.48
37,55.45,55.7,55.03
38,55.45,55.77,55.08
39,55.54,55.57,56.17
40,55.45,55.63,55.55
41,55.45,55.35,56.86
42,55.45,55.91,54.75
43,55.45,55.53,55.91
44,55.45,55.79,55.27
45,55.45,55.8,54.58
46,55.45,55.17,54.44
47,55.45,56.03,53.73
48,55.45,55.98,54.32
49,55.45,55.38,56.67
50,55.45,55.54,55.1
51,55.45,55.78,54.87
52,55.45,55.19,56.22
53,55.45,55.6,55.62
54,55.45,55.81,54.89
55,55.45,55.65,55.46
56,55.45,55.57,56.03
57,55.45,55.73,55.27
58,55.45,55.73,55.53
59,55.45,55.59,55.46
60,55.45,55.67,55.72
61,55.45,55.63,55.34
62,55.45,55.53,55.7
63,55.45,55.11,55.01
64,55.45,55.41,55.81
65,55.45,55.17,55.46
66,55.45,55.65,55.98
67,55.45,55.52,56.22
68,55.45,55.57,56.17
69,55.45,55.66,55.34
70,55.45,55.07,56.36
71,55.45,55.57,57.66
72,55.45,56.05,53.61
73,55.45,55.83,55.55
74,55.45,55.44,56.57
75,55.45,55.69,55.72
76,55.45,55.62,55.03
77,55.45,55.83,55.7
78,55.45,55.47,56.12
79,55.45,55.62,55.6
80,55.45,55.51,56.38
81,55.45,55.63,55.22
82,55.45,55.69,55.43
83,55.45,55.91,54.96
84,55.45,55.73,55.22
85,55.45,55.12,54.7
86,55.45,55.82,55.01
87,55.45,55.75,55.13
88,55.45,55.86,56.78
89,55.45,55.53,55.91
90,55.45,55.88,57.07
91,55.45,55.55,55.62
92,55.45,55.7,55.74
93,55.45,55.64,55.79
94,55.45,55.7,55.22
95,55.45,55.62,55.22
96,55.45,55.73,55.48
97,55.45,55.48,56.31
98,55.45,55.86,54.7
99,55.45,55.48,56.17
100,55.45,55.44,56.62
101,55.45,55.57,56.0
102,55.45,56.01,54.91
103,55.45,55.57,55.27
104,55.45,55.69,54.91
105,55.45,55.86,55.25
106,55.45,55.8,55.51
107,55.45,55.52,56.17
108,55.45,55.63,55.67
109,55.45,55.41,56.48
110,55.45,55.68,55.48
111,55.45,55.96,54.61
112,55.45,55.51,56.19
113,55.45,56.01,54.2
114,55.45,56.06,56.24
115,55.45,55.63,55.65
116,55.45,55.94,54.37
117,55.45,55.64,55.48
118,55.45,55.76,55.48
119,55.45,55.54,56.31
120,55.45,55.78,55.06
121,55.45,55.6,55.6
122,55.45,55.33,57.23
123,55.45,55.41,56.43
124,55.45,55.43,56.81
125,55.45,55.56,55.39
126,55.45,55.62,55.7
127,55.45,55.44,56.31
128,55.45,55.72,55.29
129,55.45,55.65,55.51
130,55.45,55.46,55.96
131,55.45,55.96,54.91
132,55.45,55.83,55.51
133,55.45,55.68,55.15
134,55.45,55.43,56.29
135,55.45,55.63,55.2
136,55.45,55.7,55.91
137,55.45,55.63,55.77
138,55.45,55.19,55.62
139,55.45,55.85,54.65
140,55.45,55.69,55.06
141,55.45,55.69,55.32
142,55.45,55.55,55.51
143,55.45,55.74,55.84
144,55.45,55.21,57.35
145,55.45,55.66,55.34
146,55.45,55.61,55.72
147,55.45,55.67,55.77
148,55.45,55.92,55.06
149,55.45,55.77,55.32
150,55.45,55.19,54.82
151,55.45,55.63,56.0
152,55.45,55.53,56.52
153,55.45,55.5,56.05
154,55.45,55.96,55.1
155,55.45,55.73,54.96
156,55.45,55.96,54.63
157,55.45,55.67,55.43
158,55.45,55.75,55.81
159,55.45,55.81,55.13
160,55.45,55.79,55.06
161,55.45,55.9,55.29
162,55.45,55.86,55.06
163,55.45,55.45,56.67
164,55.45,55.69,55.84
165,55.45,55.4,55.55
166,55.45,55.37,56.48
167,55.45,55.47,56.57
168,55.45,55.92,54.42
169,55.45,55.49,56.31
170,55.45,55.4,56.74
171,55.45,55.68,55.15
172,55.45,55.64,55.72
173,55.45,55.73,55.96
174,55.45,55.81,54.77
175,55.45,55.56,55.55
176,55.45,55.89,54.61
177,55.45,55.62,55.91
178,55.45,55.75,54.89
179,55.45,55.46,56.45
180,55.45,55.58,55.91
181,55.45,55.59,56.12
182,55.45,56.21,55.58
183,55.45,55.96,54.7
184,55.45,55.89,55.46
185,55.45,55.33,57.21
186,55.45,55.11,54.53
187,55.45,55.5,56.0
188,55.45,55.15,56.14
189,55.45,55.85,54.94
190,55.45,55.19,55.86
191,55.45,55.88,56.48
192,55.45,55.76,55.15
193,55.45,55.59,55.96
194,55.45,55.63,56.38
195,55.45,55.46,55.65
196,55.45,55.83,55.06
197,55.45,55.53,55.96
198,55.45,55.96,54.58
199,55.45,55.49,56.41
