,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300564.SZ,20200403,30.2,30.3,29.7,29.73,30.35,-0.62,-2.0428,10756.86,32172.611
1,300564.SZ,20200402,29.83,30.35,29.67,30.35,30.08,0.27,0.8976,11949.26,35826.344
2,300564.SZ,20200401,31.04,31.29,30.08,30.08,31.01,-0.93,-2.999,14148.72,43460.75
3,300564.SZ,20200331,31.6,31.8,30.62,31.01,31.46,-0.45,-1.4304,17152.86,53143.164
4,300564.SZ,20200330,30.34,31.68,30.06,31.46,30.72,0.74,2.4089,22848.82,71067.666
5,300564.SZ,20200327,30.3,31.6,30.05,30.72,29.88,0.84,2.8112,24808.82,76788.995
6,300564.SZ,20200326,30.43,30.43,29.85,29.88,30.5,-0.62,-2.0328,9883.36,29801.73
7,300564.SZ,20200325,30.49,30.64,30.15,30.5,29.93,0.57,1.9044,11933.62,36340.929
8,300564.SZ,20200324,29.89,30.18,29.3,29.93,29.35,0.58,1.9761,9063.32,26989.454
9,300564.SZ,20200323,29.95,30.18,29.31,29.35,30.73,-1.38,-4.4907,11495.21,34256.467
10,300564.SZ,20200320,30.49,30.88,30.2,30.73,30.27,0.46,1.5197,13498.1,41214.93
11,300564.SZ,20200319,29.85,30.4,29.31,30.27,29.9,0.37,1.2375,12276.23,36816.113
12,300564.SZ,20200318,30.18,30.99,29.9,29.9,29.94,-0.04,-0.1336,16775.86,51102.906
13,300564.SZ,20200317,30.01,30.47,28.96,29.94,29.5,0.44,1.4915,14520.67,43082.422
14,300564.SZ,20200316,30.58,31.29,29.4,29.5,30.25,-0.75,-2.4793,19750.53,60359.103
15,300564.SZ,20200313,29.6,30.6,29.01,30.25,31.13,-0.88,-2.8269,20654.06,61464.789
16,300564.SZ,20200312,31.54,31.75,30.08,31.13,32.41,-1.28,-3.9494,21443.29,66987.602
17,300564.SZ,20200311,33.3,33.53,32.4,32.41,33.36,-0.95,-2.8477,23203.98,76434.092
18,300564.SZ,20200310,32.4,33.39,32.03,33.36,32.48,0.88,2.7094,23672.95,77771.204
19,300564.SZ,20200309,33.67,34.15,32.45,32.48,34.86,-2.38,-6.8273,31685.44,105070.392
20,300564.SZ,20200306,36.1,36.25,34.71,34.86,36.19,-1.33,-3.675,34955.03,123136.542
21,300564.SZ,20200305,37.18,37.18,35.7,36.19,37.26,-1.07,-2.8717,51115.4,185957.769
22,300564.SZ,20200304,35.03,37.85,34.88,37.26,36.04,1.22,3.3851,63262.08,231838.621
23,300564.SZ,20200303,36.94,38.03,35.5,36.04,34.57,1.47,4.2522,93802.42,346753.765
24,300564.SZ,20200302,31.54,34.57,31.53,34.57,31.43,3.14,9.9905,18308.27,61438.052
25,300564.SZ,20200228,32.86,34.19,31.31,31.43,34.44,-3.01,-8.7398,38594.8,126766.648
26,300564.SZ,20200227,32.65,34.96,32.02,34.44,32.65,1.79,5.4824,56732.07,191628.119
27,300564.SZ,20200226,30.5,33.64,30.18,32.65,31.04,1.61,5.1869,51433.26,166702.323
28,300564.SZ,20200225,31.1,31.7,30.12,31.04,31.97,-0.93,-2.909,25972.86,80591.912
29,300564.SZ,20200224,31.63,32.09,31.0,31.97,31.77,0.2,0.6295,23784.37,74838.875
30,300564.SZ,20200221,31.56,32.19,31.5,31.77,31.61,0.16,0.5062,20794.26,66115.219
31,300564.SZ,20200220,31.22,31.65,30.88,31.61,31.22,0.39,1.2492,19155.48,60067.443
32,300564.SZ,20200219,31.6,31.77,31.11,31.22,31.72,-0.5,-1.5763,18981.63,59696.445
33,300564.SZ,20200218,31.01,31.8,30.83,31.72,31.02,0.7,2.2566,26436.95,82641.886
34,300564.SZ,20200217,30.03,31.29,30.01,31.02,30.09,0.93,3.0907,23827.92,73313.211
35,300564.SZ,20200214,29.75,30.24,29.52,30.09,29.93,0.16,0.5346,15648.36,46843.463
36,300564.SZ,20200213,30.42,30.63,29.88,29.93,30.55,-0.62,-2.0295,18721.15,56517.492
37,300564.SZ,20200212,30.01,30.65,29.87,30.55,30.15,0.4,1.3267,18311.94,55566.527
38,300564.SZ,20200211,30.2,30.7,29.81,30.15,30.4,-0.25,-0.8224,18147.45,54852.563
39,300564.SZ,20200210,29.5,30.58,29.31,30.4,29.47,0.93,3.1558,23856.97,71735.546
