,date,code,name,closingPrice,maxPrice,minPrice,openingPrice,previousClose,change,quoteChange,turnoverRate,volume,turnover,totalMarketCapitalization,marketCapitalization,yield
0,2020-02-14,600008,首创股份,3.21,3.27,3.2,3.26,3.24,-0.03,-0.9259,0.4138,23529129.0,76030917.0,18250288744.5,18250288744.5,
1,2020-02-13,600008,首创股份,3.24,3.27,3.18,3.21,3.22,0.02,0.6211,0.4038,22956073.0,73916118.0,18420852190.7,18420852190.7,
2,2020-02-12,600008,首创股份,3.22,3.22,3.19,3.2,3.19,0.03,0.9404,0.2314,13155714.0,42175214.0,18307143226.5,18307143226.5,
3,2020-02-11,600008,首创股份,3.19,3.24,3.19,3.23,3.24,-0.05,-1.5432,0.3189,18128508.0,58128658.0,18136579780.3,18136579780.3,
4,2020-02-10,600008,首创股份,3.24,3.3,3.19,3.28,3.24,0.0,0.0,0.6053,34414388.0,111455980.0,18420852190.7,18420852190.7,
5,2020-02-07,600008,首创股份,3.24,3.24,3.08,3.12,3.11,0.13,4.1801,0.7307,41541570.0,130464729.0,18420852190.7,18420852190.7,
6,2020-02-06,600008,首创股份,3.11,3.12,2.97,3.01,3.0,0.11,3.6667,0.653,37123659.0,113991408.0,17681743923.8,17681743923.8,
7,2020-02-05,600008,首创股份,3.0,3.06,2.95,2.97,2.97,0.03,1.0101,0.4579,26035475.0,78447084.0,17056344621.0,17056344621.0,
8,2020-02-04,600008,首创股份,2.97,2.98,2.77,2.77,2.94,0.03,1.0204,0.6578,37401613.0,109923954.0,16885781174.8,16885781174.8,
9,2020-02-03,600008,首创股份,2.94,3.0,2.94,2.94,3.27,-0.33,-10.0917,0.5648,32110512.0,94552643.0,16715217728.6,16715217728.6,
10,2020-01-23,600008,首创股份,3.27,3.33,3.25,3.32,3.33,-0.06,-1.8018,0.4386,24935656.0,81926754.0,18591415636.9,18591415636.9,
11,2020-01-22,600008,首创股份,3.33,3.34,3.24,3.27,3.28,0.05,1.5244,0.4106,23346596.0,77020535.0,18932542529.3,18932542529.3,
12,2020-01-21,600008,首创股份,3.28,3.34,3.27,3.33,3.34,-0.06,-1.7964,0.4222,24006686.0,79077412.0,18648270119.0,18648270119.0,
13,2020-01-20,600008,首创股份,3.34,3.34,3.3,3.3,3.31,0.03,0.9063,0.2797,15902914.0,52833553.0,18989397011.4,18989397011.4,
14,2020-01-17,600008,首创股份,3.31,3.33,3.3,3.3,3.31,0.0,0.0,0.2416,13734237.0,45561453.0,18818833565.2,18818833565.2,
15,2020-01-16,600008,首创股份,3.31,3.35,3.29,3.32,3.31,0.0,0.0,0.3879,22055876.0,73215188.0,18818833565.2,18818833565.2,
16,2020-01-15,600008,首创股份,3.31,3.38,3.3,3.37,3.39,-0.08,-2.3599,0.5301,30138465.0,100210639.0,18818833565.2,18818833565.2,
17,2020-01-14,600008,首创股份,3.39,3.41,3.32,3.33,3.33,0.06,1.8018,0.7323,41633682.0,140376001.0,19273669421.7,19273669421.7,
18,2020-01-13,600008,首创股份,3.33,3.33,3.28,3.31,3.32,0.01,0.3012,0.2608,14825876.0,48939405.0,18932542529.3,18932542529.3,
19,2020-01-10,600008,首创股份,3.32,3.35,3.3,3.34,3.34,-0.02,-0.5988,0.2408,13688602.0,45426691.0,18875688047.2,18875688047.2,
20,2020-01-09,600008,首创股份,3.34,3.35,3.31,3.33,3.31,0.03,0.9063,0.2725,15493347.0,51573744.0,18989397011.4,18989397011.4,-0.04
21,2020-01-08,600008,首创股份,3.31,3.36,3.3,3.35,3.36,-0.05,-1.4881,0.4,22740600.0,75660906.0,18818833565.2,18818833565.2,-0.02
22,2020-01-07,600008,首创股份,3.36,3.39,3.33,3.33,3.33,0.03,0.9009,0.6819,38770282.0,130449800.0,19103105975.5,19103105975.5,-0.04
23,2020-01-06,600008,首创股份,3.33,3.36,3.31,3.34,3.35,-0.02,-0.597,0.3925,22312969.0,74454662.0,18932542529.3,18932542529.3,-0.04
24,2020-01-03,600008,首创股份,3.35,3.36,3.32,3.33,3.33,0.02,0.6006,0.365,20752654.0,69300087.0,19046251493.5,19046251493.5,-0.03
25,2020-01-02,600008,首创股份,3.33,3.34,3.3,3.31,3.29,0.04,1.2158,0.3781,21498259.0,71460782.0,18932542529.3,18932542529.3,-0.03
26,2019-12-31,600008,首创股份,3.29,3.3,3.26,3.27,3.27,0.02,0.6116,0.2742,15586907.0,51030563.0,18705124601.0,18705124601.0,-0.05
27,2019-12-30,600008,首创股份,3.27,3.27,3.22,3.25,3.25,0.02,0.6154,0.3015,17139873.0,55731197.0,18591415636.9,18591415636.9,-0.08
28,2019-12-27,600008,首创股份,3.25,3.28,3.24,3.26,3.25,0.0,0.0,0.2752,15643540.0,50960515.0,18477706672.8,18477706672.8,-0.09
29,2019-12-26,600008,首创股份,3.25,3.26,3.22,3.23,3.23,0.02,0.6192,0.2025,11511940.0,37314474.0,18477706672.8,18477706672.8,-0.1
30,2019-12-25,600008,首创股份,3.23,3.25,3.22,3.24,3.24,-0.01,-0.3086,0.1857,10557060.0,34094556.0,18363997708.6,18363997708.6,0.01
31,2019-12-24,600008,首创股份,3.24,3.25,3.21,3.23,3.22,0.02,0.6211,0.2361,13422087.0,43345463.0,18420852190.7,18420852190.7,0.03
32,2019-12-23,600008,首创股份,3.22,3.31,3.21,3.3,3.31,-0.09,-2.719,0.3071,17460489.0,57087739.0,18307143226.5,18307143226.5,0.02
33,2019-12-20,600008,首创股份,3.31,3.33,3.3,3.32,3.32,-0.01,-0.3012,0.4049,23020101.0,76315689.0,18818833565.2,18818833565.2,0.01
34,2019-12-19,600008,首创股份,3.32,3.32,3.29,3.31,3.31,0.01,0.3021,0.2494,14178300.0,46909553.0,18875688047.2,18875688047.2,-0.0
35,2019-12-18,600008,首创股份,3.31,3.35,3.31,3.31,3.32,-0.01,-0.3012,0.3383,19232771.0,63963935.0,18818833565.2,18818833565.2,0.0
36,2019-12-17,600008,首创股份,3.32,3.35,3.29,3.31,3.31,0.01,0.3021,0.5969,33934157.0,112730641.0,18875688047.2,18875688047.2,-0.0
37,2019-12-16,600008,首创股份,3.31,3.32,3.27,3.32,3.3,0.01,0.303,0.2862,16270155.0,53651102.0,18818833565.2,18818833565.2,0.02
38,2019-12-13,600008,首创股份,3.3,3.3,3.26,3.26,3.25,0.05,1.5385,0.2152,12236002.0,40207729.0,18761979083.1,18761979083.1,0.01
39,2019-12-12,600008,首创股份,3.25,3.27,3.25,3.27,3.26,-0.01,-0.3067,0.117,6654688.0,21686828.0,18477706672.8,18477706672.8,0.02
40,2019-12-11,600008,首创股份,3.26,3.28,3.25,3.27,3.27,-0.01,-0.3058,0.1294,7356964.0,24019162.0,18534561154.8,18534561154.8,0.02
41,2019-12-10,600008,首创股份,3.27,3.27,3.25,3.27,3.27,0.0,0.0,0.0949,5396913.0,17608806.0,18591415636.9,18591415636.9,0.01
42,2019-12-09,600008,首创股份,3.27,3.28,3.26,3.28,3.28,-0.01,-0.3049,0.1281,7284600.0,23821511.0,18591415636.9,18591415636.9,0.03
43,2019-12-06,600008,首创股份,3.28,3.28,3.26,3.27,3.27,0.01,0.3058,0.1057,6007351.0,19651075.0,18648270119.0,18648270119.0,0.02
44,2019-12-05,600008,首创股份,3.27,3.27,3.25,3.25,3.25,0.02,0.6154,0.102,5796400.0,18905846.0,18591415636.9,18591415636.9,0.02
45,2019-12-04,600008,首创股份,3.25,3.26,3.23,3.25,3.26,-0.01,-0.3067,0.1043,5927200.0,19261028.0,18477706672.8,18477706672.8,0.02
46,2019-12-03,600008,首创股份,3.26,3.26,3.23,3.24,3.26,0.0,0.0,0.0967,5498504.0,17836168.0,18534561154.8,18534561154.8,0.01
47,2019-12-02,600008,首创股份,3.26,3.28,3.24,3.28,3.28,-0.02,-0.6098,0.1458,8288720.0,27005416.0,18534561154.8,18534561154.8,0.0
48,2019-11-29,600008,首创股份,3.28,3.28,3.25,3.26,3.26,0.02,0.6135,0.1005,5713621.0,18636696.0,18648270119.0,18648270119.0,-0.01
49,2019-11-28,600008,首创股份,3.26,3.28,3.25,3.27,3.26,0.0,0.0,0.1315,7476789.0,24388250.0,18534561154.8,18534561154.8,-0.0
50,2019-11-27,600008,首创股份,3.26,3.28,3.24,3.25,3.26,0.0,0.0,0.1067,6066800.0,19786600.0,18534561154.8,18534561154.8,-0.01
51,2019-11-26,600008,首创股份,3.26,3.29,3.25,3.27,3.27,-0.01,-0.3058,0.1274,7244691.0,23647024.0,18534561154.8,18534561154.8,-0.01
52,2019-11-25,600008,首创股份,3.27,3.29,3.21,3.24,3.24,0.03,0.9259,0.1813,10309838.0,33605850.0,18591415636.9,18591415636.9,-0.02
53,2019-11-22,600008,首创股份,3.24,3.28,3.23,3.24,3.24,0.0,0.0,0.1506,8561200.0,27899604.0,18420852190.7,18420852190.7,0.02
54,2019-11-21,600008,首创股份,3.24,3.24,3.2,3.21,3.22,0.02,0.6211,0.081,4606950.0,14861149.0,18420852190.7,18420852190.7,0.02
55,2019-11-20,600008,首创股份,3.22,3.26,3.21,3.26,3.25,-0.03,-0.9231,0.1011,5749422.0,18557682.0,18307143226.5,18307143226.5,0.03
56,2019-11-19,600008,首创股份,3.25,3.25,3.19,3.21,3.19,0.06,1.8809,0.1316,7484334.0,24176966.0,18477706672.8,18477706672.8,0.02
57,2019-11-18,600008,首创股份,3.19,3.21,3.15,3.17,3.19,0.0,0.0,0.1214,6900498.0,21992145.0,18136579780.3,18136579780.3,0.04
58,2019-11-15,600008,首创股份,3.19,3.23,3.18,3.22,3.22,-0.03,-0.9317,0.1023,5814931.0,18635330.0,18136579780.3,18136579780.3,0.03
59,2019-11-14,600008,首创股份,3.22,3.23,3.17,3.22,3.19,0.03,0.9404,0.1357,7717138.0,24763664.0,18307143226.5,18307143226.5,0.01
60,2019-11-13,600008,首创股份,3.19,3.26,3.19,3.26,3.24,-0.05,-1.5432,0.186,8966510.0,28794793.0,18136579780.3,15377759055.6,0.02
