,Unnamed: 0,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield
0,0,688066.SH,20200403,41.2,42.39,40.77,40.98,41.66,-0.68,-1.6323,13119.65,54246.497,
1,1,688066.SH,20200402,40.13,41.7,39.79,41.66,40.13,1.53,3.8126,15873.08,64911.885,
2,2,688066.SH,20200401,39.5,41.2,39.5,40.13,40.1,0.03,0.0748,13235.57,53593.303,
3,3,688066.SH,20200331,40.02,40.88,39.59,40.1,39.89,0.21,0.5264,11200.03,44974.512,
4,4,688066.SH,20200330,40.6,41.2,39.28,39.89,41.4,-1.51,-3.6473,14457.07,57719.907999999996,
5,5,688066.SH,20200327,43.22,43.32,41.4,41.4,42.3,-0.9,-2.1277,14857.48,63054.769,
6,6,688066.SH,20200326,43.03,43.71,42.28,42.3,43.66,-1.36,-3.115,13567.1,58383.995,
7,7,688066.SH,20200325,43.8,44.0,42.69,43.66,42.13,1.53,3.6316,18168.95,79061.219,
8,8,688066.SH,20200324,42.8,42.8,40.04,42.13,40.92,1.21,2.957,15603.87,64952.412000000004,
9,9,688066.SH,20200323,42.5,43.84,40.6,40.92,44.77,-3.85,-8.5995,18530.83,78207.065,
10,10,688066.SH,20200320,45.23,46.0,43.95,44.77,44.62,0.15,0.3362,15824.56,70741.899,
11,11,688066.SH,20200319,43.59,45.06,43.0,44.62,43.7,0.92,2.1053,22984.85,101270.94300000001,
12,12,688066.SH,20200318,45.5,46.3,43.5,43.7,44.4,-0.7,-1.5766,27131.2,122664.27,
13,13,688066.SH,20200317,45.49,46.17,43.06,44.4,44.52,-0.12,-0.2695,22439.22,99989.35,
14,14,688066.SH,20200316,48.5,49.0,44.44,44.52,47.82,-3.3,-6.9009,33477.91,157645.779,
15,15,688066.SH,20200313,45.6,48.87,45.07,47.82,48.43,-0.61,-1.2595,32940.95,154964.571,
16,16,688066.SH,20200312,47.76,50.48,47.6,48.43,50.61,-2.18,-4.3074,34746.2,168518.86800000002,
17,17,688066.SH,20200311,49.39,54.94,49.38,50.61,49.1,1.51,3.0754,65928.39,344153.908,
18,18,688066.SH,20200310,46.15,49.43,46.0,49.1,46.65,2.45,5.2519,38439.96,183615.87699999998,
19,19,688066.SH,20200309,49.45,49.45,46.52,46.65,49.8,-3.15,-6.3253,27568.09,131838.805,
20,20,688066.SH,20200306,50.01,50.98,49.23,49.8,51.18,-1.38,-2.6964,24955.79,125151.759,-0.17710843373493979
21,21,688066.SH,20200305,51.97,52.58,50.01,51.18,50.28,0.9,1.79,29589.31,151892.856,-0.18601016021883554
22,22,688066.SH,20200304,49.49,51.24,48.0,50.28,50.0,0.28,0.56,30841.52,153649.97,-0.20186953062848048
23,23,688066.SH,20200303,50.6,52.54,49.45,50.0,48.9,1.1,2.2495,43820.7,222583.02399999998,-0.19799999999999998
24,24,688066.SH,20200302,47.55,49.46,46.5,48.9,47.01,1.89,4.0204,36910.74,177506.535,-0.1842535787321063
25,25,688066.SH,20200228,47.5,48.49,45.9,47.01,51.01,-4.0,-7.8416,52169.2,245829.884,-0.11933631142310146
26,26,688066.SH,20200227,55.12,56.6,50.95,51.01,55.33,-4.32,-7.8077,60605.77,317821.748,-0.1707508331699667
27,27,688066.SH,20200226,55.5,59.6,55.0,55.33,56.94,-1.61,-2.8275,57778.59,332222.042,-0.21091632026025667
28,28,688066.SH,20200225,55.18,57.5,54.6,56.94,57.56,-0.62,-1.0771,45003.68,253382.504,-0.26009834913944496
29,29,688066.SH,20200224,56.01,58.93,56.01,57.56,57.15,0.41,0.7174,45508.47,259853.076,-0.28908964558721334
30,30,688066.SH,20200221,54.0,58.2,54.0,57.15,55.56,1.59,2.8618,61233.14,345199.398,-0.21662292213473308
31,31,688066.SH,20200220,55.4,56.96,54.6,55.56,54.67,0.89,1.6279,53141.1,296267.619,-0.19690424766018727
32,32,688066.SH,20200219,58.5,58.7,54.53,54.67,59.55,-4.88,-8.1948,67066.51,380417.533,-0.2006584964331443
33,33,688066.SH,20200218,59.47,61.97,57.15,59.55,60.0,-0.45,-0.75,70924.1,419440.195,-0.2544080604534005
34,34,688066.SH,20200217,58.55,62.7,57.67,60.0,58.2,1.8,3.0928,82324.79,499650.341,-0.25799999999999995
35,35,688066.SH,20200214,56.41,59.6,55.69,58.2,56.96,1.24,2.177,82052.87,474805.535,-0.17835051546391756
36,36,688066.SH,20200213,56.85,59.73,54.72,56.96,57.58,-0.62,-1.0768,90969.59,522378.153,-0.14975421348314608
37,37,688066.SH,20200212,51.9,58.7,51.9,57.58,52.2,5.38,10.3065,92763.25,517587.66299999994,-0.12104897533865924
38,38,688066.SH,20200211,55.01,55.67,50.51,52.2,56.3,-4.1,-7.2824,85413.16,449592.85,-0.05938697318007665
