ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield
300163.SZ,20180102,5.82,6.22,5.7,6.15,5.82,0.33,5.67,88709.71,53039.545999999995,-0.03
300163.SZ,20180103,6.12,6.15,6.03,6.07,6.15,-0.08,-1.3,48111.68,29240.195,-0.11
300163.SZ,20180104,6.08,6.14,6.02,6.02,6.07,-0.05,-0.82,35338.06,21437.697,-0.17
300163.SZ,20180105,6.01,6.09,5.99,6.03,6.02,0.01,0.17,28499.22,17199.916,-0.21
300163.SZ,20180108,6.05,6.08,5.94,5.95,6.03,-0.08,-1.33,45629.48,27279.695,-0.21
300163.SZ,20180109,5.95,5.97,5.88,5.9,5.95,-0.05,-0.84,31031.32,18364.451,-0.26
300163.SZ,20180110,5.92,5.93,5.67,5.73,5.9,-0.17,-2.88,60702.01,35072.257000000005,-0.24
300163.SZ,20180111,5.73,5.81,5.59,5.77,5.73,0.04,0.7,48171.39,27660.397999999997,-0.16
300163.SZ,20180112,5.75,5.8,5.7,5.73,5.77,-0.04,-0.69,33924.0,19500.663,-0.19
300163.SZ,20180115,5.73,5.97,5.61,5.71,5.73,-0.02,-0.35,82495.0,47784.75,-0.18
300163.SZ,20180116,5.72,5.84,5.61,5.74,5.71,0.03,0.53,44661.79,25590.189,-0.21
300163.SZ,20180117,5.74,5.83,5.56,5.79,5.74,0.05,0.87,58914.24,33790.355,-0.22
300163.SZ,20180118,5.76,6.05,5.75,6.03,5.79,0.24,4.15,84382.61,50383.129,-0.25
300163.SZ,20180119,5.97,6.02,5.85,5.89,6.03,-0.14,-2.32,47552.61,28185.388,-0.23
300163.SZ,20180122,5.9,6.02,5.78,5.91,5.89,0.02,0.34,41448.67,24462.486,-0.2
300163.SZ,20180123,5.91,6.25,5.8,6.18,5.91,0.27,4.57,107908.0,65688.616,-0.23
300163.SZ,20180124,6.13,6.15,6.05,6.09,6.18,-0.09,-1.46,69046.56,42106.169,-0.22
300163.SZ,20180125,6.11,6.22,6.03,6.04,6.09,-0.05,-0.82,62813.0,38440.622,-0.19
300163.SZ,20180126,5.99,6.07,5.92,5.94,6.04,-0.1,-1.66,46997.21,28111.107000000004,-0.19
300163.SZ,20180129,5.98,6.05,5.91,5.92,5.94,-0.02,-0.34,35818.02,21373.523999999998,-0.18
300163.SZ,20180130,5.91,6.02,5.87,5.94,5.92,0.02,0.34,27861.24,16559.291,-0.18
300163.SZ,20180131,5.91,5.92,5.35,5.38,5.94,-0.56,-9.43,131060.23,72354.233,-0.11
300163.SZ,20180201,5.35,5.4,4.86,4.98,5.38,-0.4,-7.43,70288.18,35763.585,-0.01
300163.SZ,20180202,4.97,4.97,4.53,4.78,4.98,-0.2,-4.02,51242.9,24326.23,0.07
300163.SZ,20180205,4.69,4.75,4.55,4.7,4.78,-0.08,-1.67,36627.06,17040.881999999998,0.2
300163.SZ,20180206,4.6,4.66,4.3,4.35,4.7,-0.35,-7.45,42165.18,18890.64,0.23
300163.SZ,20180207,4.41,4.52,4.25,4.38,4.35,0.03,0.69,70388.72,30638.404,0.21
300163.SZ,20180208,4.36,4.82,4.35,4.82,4.38,0.44,10.05,147705.02,68946.587,0.08
300163.SZ,20180209,4.61,4.75,4.48,4.64,4.82,-0.18,-3.73,116676.93,54165.133,0.13
300163.SZ,20180212,4.64,4.8,4.62,4.7,4.64,0.06,1.29,94681.71,44554.969000000005,0.11
300163.SZ,20180213,4.72,4.72,4.51,4.52,4.7,-0.18,-3.83,81473.98,37486.328,0.16
300163.SZ,20180214,4.51,4.53,4.43,4.49,4.52,-0.03,-0.66,46077.0,20645.858,0.14
300163.SZ,20180222,4.51,4.55,4.44,4.55,4.49,0.06,1.34,64336.12,28991.246,0.13
300163.SZ,20180223,4.52,4.62,4.51,4.56,4.55,0.01,0.22,45646.06,20824.942,0.02
300163.SZ,20180226,4.57,4.72,4.54,4.71,4.56,0.15,3.29,71937.06,33333.347,-0.0
300163.SZ,20180227,4.71,4.77,4.67,4.76,4.71,0.05,1.06,75980.01,35882.32,0.02
300163.SZ,20180228,4.72,4.84,4.62,4.77,4.76,0.01,0.21,72667.03,34498.018,0.02
300163.SZ,20180301,4.74,5.19,4.69,4.87,4.77,0.1,2.1,106292.0,51920.225999999995,0.02
300163.SZ,20180302,4.87,4.93,4.78,4.82,4.87,-0.05,-1.03,72366.83,35124.26,0.05
300163.SZ,20180305,4.81,4.87,4.75,4.86,4.82,0.04,0.83,38978.45,18789.583,0.03
300163.SZ,20180306,4.86,4.92,4.83,4.87,4.86,0.01,0.21,62798.73,30539.4,-0.0
300163.SZ,20180307,4.85,4.87,4.78,4.79,4.87,-0.08,-1.64,42323.0,20411.481,-0.01
300163.SZ,20180308,4.8,5.0,4.76,4.93,4.79,0.14,2.92,110937.25,54103.032999999996,-0.04
300163.SZ,20180309,4.9,5.23,4.9,5.13,4.93,0.2,4.06,142760.26,72723.511,-0.08
300163.SZ,20180312,5.11,5.64,5.06,5.64,5.13,0.51,9.94,331867.6,181769.173,-0.16
300163.SZ,20180313,5.49,5.74,5.35,5.35,5.64,-0.29,-5.14,296744.05,164376.388,-0.12
300163.SZ,20180314,5.33,5.55,5.2,5.29,5.35,-0.06,-1.12,181752.33,97546.444,-0.11
300163.SZ,20180315,5.22,5.29,5.08,5.19,5.29,-0.1,-1.89,112483.0,58291.849,-0.1
300163.SZ,20180316,5.16,5.31,5.16,5.24,5.19,0.05,0.96,100043.0,52293.490999999995,-0.15
300163.SZ,20180319,5.25,5.28,5.14,5.2,5.24,-0.04,-0.76,69677.6,36159.242999999995,-0.13
