,Unnamed: 0,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield
0,0,000788.SZ,20200403,6.12,6.21,6.1,6.16,6.12,0.04,0.6536,41465.69,25522.129,
1,1,000788.SZ,20200402,6.03,6.12,6.0,6.12,6.05,0.07,1.157,39850.7,24157.238999999998,
2,2,000788.SZ,20200401,6.09,6.15,6.03,6.05,6.1,-0.05,-0.8197,35524.69,21634.862,
3,3,000788.SZ,20200331,6.22,6.24,6.08,6.1,6.17,-0.07,-1.1345,39058.56,23972.886000000002,
4,4,000788.SZ,20200330,6.26,6.26,6.15,6.17,6.31,-0.14,-2.2187,42137.0,26087.786,
5,5,000788.SZ,20200327,6.44,6.45,6.29,6.31,6.38,-0.07,-1.0972,48583.84,30968.3,
6,6,000788.SZ,20200326,6.38,6.47,6.34,6.38,6.43,-0.05,-0.7776,54970.62,35128.625,
7,7,000788.SZ,20200325,6.33,6.46,6.31,6.43,6.29,0.14,2.2258,71252.51,45452.511,
8,8,000788.SZ,20200324,6.24,6.32,6.19,6.29,6.23,0.06,0.9631,47229.0,29527.756,
9,9,000788.SZ,20200323,6.2,6.33,6.14,6.23,6.27,-0.04,-0.638,76087.01,47642.037000000004,
10,10,000788.SZ,20200320,6.19,6.3,6.16,6.27,6.14,0.13,2.1173,54149.02,33764.981,
11,11,000788.SZ,20200319,6.12,6.18,6.02,6.14,6.16,-0.02,-0.3247,52445.45,31988.372000000003,
12,12,000788.SZ,20200318,6.22,6.32,6.16,6.16,6.19,-0.03,-0.4847,53129.0,33152.956,
13,13,000788.SZ,20200317,6.34,6.4,6.01,6.19,6.34,-0.15,-2.3659,82410.0,50784.515999999996,
14,14,000788.SZ,20200316,6.52,6.67,6.33,6.34,6.42,-0.08,-1.2461,84845.0,55224.948,
15,15,000788.SZ,20200313,6.55,6.55,6.29,6.42,6.7,-0.28,-4.1791,105232.01,67171.87400000001,
16,16,000788.SZ,20200312,6.8,6.81,6.7,6.7,6.86,-0.16,-2.3324,66111.01,44516.217000000004,
17,17,000788.SZ,20200311,6.88,6.94,6.83,6.86,6.88,-0.02,-0.2907,68057.34,46879.64599999999,
18,18,000788.SZ,20200310,6.9,6.91,6.66,6.88,7.01,-0.13,-1.8545,110858.51,75284.064,
19,19,000788.SZ,20200309,6.92,7.13,6.83,7.01,7.0,0.01,0.1429,143977.83,100385.594,
20,20,000788.SZ,20200306,6.9,7.03,6.87,7.0,6.92,0.08,1.1561,117512.3,81984.51299999999,-0.11999999999999998
21,21,000788.SZ,20200305,6.89,6.93,6.83,6.92,6.85,0.07,1.0219,102276.79,70468.718,-0.11560693641618494
22,22,000788.SZ,20200304,6.9,6.9,6.77,6.85,6.93,-0.08,-1.1544,76027.02,51970.102,-0.1167883211678832
23,23,000788.SZ,20200303,6.89,6.98,6.86,6.93,6.84,0.09,1.3158,108394.58,74888.80099999999,-0.11976911976911979
24,24,000788.SZ,20200302,6.68,6.87,6.66,6.84,6.74,0.1,1.4837,91623.28,62388.307,-0.097953216374269
25,25,000788.SZ,20200228,6.93,7.11,6.73,6.74,7.0,-0.26,-3.7143,127252.95,87929.775,-0.06379821958456983
26,26,000788.SZ,20200227,7.03,7.08,6.94,7.0,7.03,-0.03,-0.4267,97178.32,68215.87700000001,-0.08857142857142859
27,27,000788.SZ,20200226,7.23,7.23,7.01,7.03,7.29,-0.26,-3.5665,162481.11,115789.461,-0.08534850640113806
28,28,000788.SZ,20200225,6.94,7.3,6.88,7.29,7.07,0.22,3.1117,248161.12,176738.247,-0.13717421124828533
29,29,000788.SZ,20200224,7.11,7.14,7.01,7.07,7.1,-0.03,-0.4225,162255.7,114850.50300000001,-0.11881188118811879
30,30,000788.SZ,20200221,6.98,7.11,6.91,7.1,7.01,0.09,1.2839,184619.15,129540.15400000001,-0.11690140845070424
31,31,000788.SZ,20200220,6.95,7.05,6.83,7.01,7.08,-0.07,-0.9887,223003.3,154646.35,-0.1241084165477889
32,32,000788.SZ,20200219,7.3,7.3,7.07,7.08,7.35,-0.27,-3.6735,218460.1,155699.512,-0.12994350282485875
33,33,000788.SZ,20200218,7.42,7.43,7.28,7.35,7.29,0.06,0.823,167126.52,122921.98,-0.15782312925170058
34,34,000788.SZ,20200217,7.18,7.29,7.17,7.29,7.17,0.12,1.6736,140436.7,101695.6,-0.13031550068587108
35,35,000788.SZ,20200214,7.17,7.25,7.09,7.17,7.15,0.02,0.2797,111753.56,80291.759,-0.10460251046025104
36,36,000788.SZ,20200213,7.36,7.36,7.12,7.15,7.32,-0.17,-2.3224,141690.4,101953.994,-0.06293706293706296
37,37,000788.SZ,20200212,7.35,7.44,7.19,7.32,7.35,-0.03,-0.4082,135523.32,99047.989,-0.0628415300546448
38,38,000788.SZ,20200211,7.27,7.38,7.12,7.35,7.37,-0.02,-0.2714,167163.02,121699.388,-0.06394557823129249
39,39,000788.SZ,20200210,7.67,7.67,7.26,7.37,7.78,-0.41,-5.2699,239581.76,177031.84399999998,-0.048846675712347395
40,40,000788.SZ,20200207,8.1,8.29,7.68,7.78,8.21,-0.43,-5.2375,394451.5,313236.031,-0.10025706940874039
41,41,000788.SZ,20200206,8.06,8.53,7.94,8.21,8.23,-0.02,-0.243,497275.53,412863.078,-0.15712545676004883
42,42,000788.SZ,20200205,8.0,8.26,7.71,8.23,8.0,0.23,2.875,491384.69,393575.958,-0.16767922235722973
43,43,000788.SZ,20200204,8.22,8.5,7.6,8.0,8.06,-0.06,-0.7444,522535.03,418898.92799999996,-0.13375000000000004
44,44,000788.SZ,20200203,7.68,8.06,7.05,8.06,7.33,0.73,9.9591,563785.53,439114.19899999996,-0.15136476426799014
45,45,000788.SZ,20200123,7.33,7.55,7.1,7.33,7.26,0.07,0.9642,233997.62,171787.298,-0.08049113233287856
46,46,000788.SZ,20200122,7.78,7.82,7.18,7.26,7.69,-0.43,-5.5917,297647.67,219032.988,-0.03581267217630851
47,47,000788.SZ,20200121,7.17,7.75,7.17,7.69,7.05,0.64,9.078,417790.78,312916.94399999996,-0.08582574772431731
48,48,000788.SZ,20200120,6.99,7.13,6.86,7.05,6.79,0.26,3.8292,215906.33,151351.945,0.03404255319148939
49,49,000788.SZ,20200117,6.68,6.84,6.66,6.79,6.67,0.12,1.7991,91599.56,61979.639,0.04123711340206189
50,50,000788.SZ,20200116,6.74,6.78,6.66,6.67,6.79,-0.12,-1.7673,67048.61,44957.328,0.0644677661169415
51,51,000788.SZ,20200115,6.82,6.95,6.72,6.79,6.78,0.01,0.1475,103604.75,70641.537,0.03240058910161999
52,52,000788.SZ,20200114,6.75,6.82,6.72,6.78,6.76,0.02,0.2959,84181.47,56959.64599999999,0.04424778761061944
53,53,000788.SZ,20200113,6.75,6.77,6.65,6.76,6.75,0.01,0.1481,62172.91,41686.952000000005,0.08727810650887573
