,Unnamed: 0,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield
0,0,002729.SZ,20200403,38.44,39.78,38.3,38.46,38.3,0.16,0.4178,3303.0,12891.4,
1,1,002729.SZ,20200402,38.04,39.0,37.0,38.3,38.6,-0.3,-0.7772,3565.0,13576.982,
2,2,002729.SZ,20200401,38.96,39.29,38.3,38.6,38.85,-0.25,-0.6435,2168.0,8400.110999999999,
3,3,002729.SZ,20200331,39.5,39.57,38.59,38.85,39.49,-0.64,-1.6207,2761.0,10792.038999999999,
4,4,002729.SZ,20200330,39.89,40.87,38.0,39.49,39.83,-0.34,-0.8536,3954.0,15297.188,
5,5,002729.SZ,20200327,40.4,41.17,39.83,39.83,40.36,-0.53,-1.3132,2619.0,10562.362,
6,6,002729.SZ,20200326,40.8,40.93,40.05,40.36,41.2,-0.84,-2.0388,3708.0,14993.723999999998,
7,7,002729.SZ,20200325,42.3,42.81,40.0,41.2,41.51,-0.31,-0.7468,7762.31,31755.943,
8,8,002729.SZ,20200324,42.0,42.76,40.2,41.51,41.46,0.05,0.1206,2736.0,11341.168,
9,9,002729.SZ,20200323,43.99,43.99,41.38,41.46,44.25,-2.79,-6.3051,3555.0,15113.17,
10,10,002729.SZ,20200320,44.1,44.81,43.86,44.25,43.86,0.39,0.8892,2301.0,10191.382,
11,11,002729.SZ,20200319,42.89,43.99,41.56,43.86,42.84,1.02,2.381,3419.0,14757.801000000001,
12,12,002729.SZ,20200318,43.25,43.99,42.84,42.84,43.22,-0.38,-0.8792,2912.0,12632.565,
13,13,002729.SZ,20200317,45.0,45.0,41.99,43.22,43.6,-0.38,-0.8716,3662.31,15731.045,
14,14,002729.SZ,20200316,44.49,44.49,43.21,43.6,43.69,-0.09,-0.20600000000000002,4590.79,20127.756999999998,
15,15,002729.SZ,20200313,41.98,44.59,40.0,43.69,42.9,0.79,1.8415,5984.7,25987.958,
16,16,002729.SZ,20200312,42.5,43.37,41.1,42.9,42.65,0.25,0.5862,4052.11,17216.063000000002,
17,17,002729.SZ,20200311,43.69,44.04,42.65,42.65,43.48,-0.83,-1.9089,3180.0,13740.825,
18,18,002729.SZ,20200310,41.2,43.98,40.5,43.48,42.85,0.63,1.4702,5344.0,22788.956000000002,
19,19,002729.SZ,20200309,45.0,45.48,42.56,42.85,45.46,-2.61,-5.7413,6946.67,30531.744,
20,20,002729.SZ,20200306,46.49,46.56,44.96,45.46,46.49,-1.03,-2.2155,4840.66,22050.075,-0.1539815222173339
21,21,002729.SZ,20200305,46.48,46.8,45.92,46.49,46.1,0.39,0.846,4888.63,22664.638,-0.17616691761669187
22,22,002729.SZ,20200304,48.0,48.0,45.6,46.1,47.46,-1.36,-2.8656,7490.49,34685.605,-0.16268980477223427
23,23,002729.SZ,20200303,48.55,49.4,47.21,47.46,48.55,-1.09,-2.2451,8846.87,42378.779,-0.1814159292035398
24,24,002729.SZ,20200302,49.0,49.0,46.8,48.55,47.98,0.57,1.188,8947.96,42794.003,-0.18661174047373832
25,25,002729.SZ,20200228,47.0,49.66,46.37,47.98,48.39,-0.41,-0.8473,12229.43,59163.123,-0.16986244268445183
26,26,002729.SZ,20200227,43.5,48.39,43.39,48.39,43.99,4.4,10.0023,15055.06,70651.392,-0.1659433767307295
27,27,002729.SZ,20200226,44.39,44.6,43.14,43.99,44.45,-0.46,-1.0349,4494.0,19748.504,-0.06342350534212318
28,28,002729.SZ,20200225,45.21,45.74,43.51,44.45,46.2,-1.75,-3.7879,8018.37,35809.526,-0.06614173228346468
