,Unnamed: 0,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield
0,0,600500.SH,20200403,5.19,5.19,5.09,5.11,5.19,-0.08,-1.5414,91527.8,46988.88,
1,1,600500.SH,20200402,5.07,5.19,5.06,5.19,5.11,0.08,1.5656,84825.22,43605.59,
2,2,600500.SH,20200401,5.09,5.21,5.06,5.11,5.12,-0.01,-0.1953,119698.53,61377.087,
3,3,600500.SH,20200331,5.15,5.24,5.1,5.12,5.12,0.0,0.0,129964.91,67015.01,
4,4,600500.SH,20200330,5.14,5.16,5.0,5.12,5.21,-0.09,-1.7274,167641.87,85072.48199999999,
5,5,600500.SH,20200327,5.25,5.35,5.18,5.21,5.21,0.0,0.0,147573.36,77440.55099999999,
6,6,600500.SH,20200326,5.35,5.35,5.15,5.21,5.37,-0.16,-2.9795,196764.31,103169.102,
7,7,600500.SH,20200325,5.42,5.44,5.32,5.37,5.33,0.04,0.7505,168596.88,90696.34,
8,8,600500.SH,20200324,5.22,5.33,5.17,5.33,5.15,0.18,3.4951,162599.99,85481.246,
9,9,600500.SH,20200323,5.16,5.24,5.09,5.15,5.3,-0.15,-2.8302,141368.73,73046.582,
10,10,600500.SH,20200320,5.3,5.34,5.19,5.3,5.25,0.05,0.9524,164718.12,86883.17,
11,11,600500.SH,20200319,5.29,5.31,5.12,5.25,5.27,-0.02,-0.3795,181824.72,95017.993,
12,12,600500.SH,20200318,5.52,5.56,5.25,5.27,5.47,-0.2,-3.6563,209643.88,113306.14,
13,13,600500.SH,20200317,5.45,5.58,5.33,5.47,5.41,0.06,1.1091,211167.1,114932.269,
14,14,600500.SH,20200316,5.81,5.85,5.41,5.41,5.81,-0.4,-6.8847,306925.05,172832.211,
15,15,600500.SH,20200313,5.66,5.91,5.6,5.81,5.91,-0.1,-1.692,263143.37,150997.726,
16,16,600500.SH,20200312,5.93,6.05,5.83,5.91,6.05,-0.14,-2.314,288459.15,170744.451,
17,17,600500.SH,20200311,6.26,6.3,6.05,6.05,6.29,-0.24,-3.8156,320831.96,197626.85600000003,
18,18,600500.SH,20200310,6.13,6.32,5.87,6.29,6.13,0.16,2.6101,510235.24,313257.692,
19,19,600500.SH,20200309,6.32,6.43,6.1,6.13,6.38,-0.25,-3.9185,448155.39,279875.974,
20,20,600500.SH,20200306,6.49,6.63,6.35,6.38,6.56,-0.18,-2.7439,405248.28,261588.081,-0.19905956112852657
21,21,600500.SH,20200305,6.22,6.64,6.16,6.56,6.14,0.42,6.8404,626206.27,404237.75700000004,-0.20884146341463403
22,22,600500.SH,20200304,6.14,6.18,6.06,6.14,6.14,0.0,0.0,181182.04,110766.849,-0.16775244299674258
23,23,600500.SH,20200303,6.28,6.28,6.06,6.14,6.19,-0.05,-0.8078,351382.51,216610.532,-0.1661237785016286
24,24,600500.SH,20200302,5.96,6.22,5.86,6.19,5.78,0.41,7.0934,475100.77,288511.033,-0.17285945072697903
