,Unnamed: 0,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield
0,0,000700.SZ,20200403,9.15,9.17,8.75,8.88,9.11,-0.23,-2.5247,697161.64,624046.43,
1,1,000700.SZ,20200402,8.47,9.15,8.38,9.11,8.61,0.5,5.8072,882645.55,779520.2440000001,
2,2,000700.SZ,20200401,8.66,8.97,8.55,8.61,8.51,0.1,1.1751,699164.91,612958.238,
3,3,000700.SZ,20200331,8.88,8.93,8.48,8.51,8.74,-0.23,-2.6316,480333.29,415710.94899999996,
4,4,000700.SZ,20200330,8.82,9.08,8.41,8.74,8.94,-0.2,-2.2371,586481.4,508330.659,
5,5,000700.SZ,20200327,9.51,9.58,8.91,8.94,9.38,-0.44,-4.6908,712013.17,652274.645,
6,6,000700.SZ,20200326,9.23,10.0,9.23,9.38,9.34,0.04,0.4283,995739.52,959173.75,
7,7,000700.SZ,20200325,9.44,9.66,9.23,9.34,9.01,0.33,3.6626,810902.35,762624.1290000001,
8,8,000700.SZ,20200324,9.1,9.19,8.52,9.01,8.92,0.09,1.0090000000000001,762662.25,677205.885,
9,9,000700.SZ,20200323,9.3,9.4,8.92,8.92,9.91,-0.99,-9.9899,768775.74,695396.723,
10,10,000700.SZ,20200320,10.39,10.63,9.74,9.91,10.06,-0.15,-1.4911,925021.19,936709.085,
11,11,000700.SZ,20200319,9.92,10.1,9.66,10.06,9.93,0.13,1.3092,899853.31,890964.6529999999,
12,12,000700.SZ,20200318,10.61,10.68,9.8,9.93,10.4,-0.47,-4.5192,1501643.68,1528998.157,
13,13,000700.SZ,20200317,9.75,10.4,9.63,10.4,9.45,0.95,10.0529,1524411.18,1549746.874,
14,14,000700.SZ,20200316,10.52,10.68,9.45,9.45,10.5,-1.05,-10.0,949550.08,946920.926,
15,15,000700.SZ,20200313,10.01,10.57,9.85,10.5,10.8,-0.3,-2.7778,921225.43,938625.4190000001,
16,16,000700.SZ,20200312,11.1,11.55,10.5,10.8,11.59,-0.79,-6.8162,924409.98,1015246.9240000001,
17,17,000700.SZ,20200311,12.0,12.34,11.58,11.59,11.98,-0.39,-3.2554,1012832.85,1204813.238,
18,18,000700.SZ,20200310,11.16,12.41,11.1,11.98,12.3,-0.32,-2.6016,1349280.67,1574980.243,
