ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield
002286.SZ,20180102,9.72,10.09,9.69,10.05,9.74,0.31,3.18,20292.19,20093.931,0.03
002286.SZ,20180103,9.96,10.07,9.89,10.01,10.05,-0.04,-0.4,14963.65,14917.958,0.05
002286.SZ,20180104,10.29,10.34,10.0,10.06,10.01,0.05,0.5,15539.0,15658.44,0.03
002286.SZ,20180105,10.06,10.06,9.95,10.03,10.06,-0.03,-0.3,8710.01,8711.383,-0.0
002286.SZ,20180108,10.23,10.23,9.86,9.95,10.03,-0.08,-0.8,15932.6,15866.749,0.01
002286.SZ,20180109,9.83,9.94,9.68,9.7,9.95,-0.25,-2.51,19251.8,18870.968,0.03
002286.SZ,20180110,9.83,9.83,9.54,9.67,9.7,-0.03,-0.31,15005.02,14429.892,0.03
002286.SZ,20180111,9.66,9.75,9.52,9.7,9.67,0.03,0.31,15195.0,14626.535,0.06
002286.SZ,20180112,9.7,9.71,9.53,9.58,9.7,-0.12,-1.24,11371.0,10903.798999999999,0.04
002286.SZ,20180115,9.53,9.56,9.2,9.21,9.58,-0.37,-3.86,18277.38,17140.09,0.09
002286.SZ,20180116,9.15,9.85,9.14,9.83,9.21,0.62,6.73,43461.32,41556.912000000004,0.07
002286.SZ,20180117,9.81,10.05,9.55,9.98,9.83,0.15,1.53,51619.28,50664.262,0.03
002286.SZ,20180118,9.99,10.19,9.88,10.06,9.98,0.08,0.8,40703.68,40840.435,0.04
002286.SZ,20180119,9.96,10.71,9.96,10.71,10.06,0.65,6.46,64686.31,67297.527,-0.03
002286.SZ,20180122,10.7,10.78,10.44,10.77,10.71,0.06,0.56,38924.24,41450.608,-0.02
002286.SZ,20180123,10.8,10.84,10.59,10.76,10.77,-0.01,-0.09,28334.42,30354.842999999997,-0.02
002286.SZ,20180124,10.67,10.84,10.6,10.75,10.76,-0.01,-0.09,20371.54,21861.797000000002,-0.03
002286.SZ,20180125,10.75,10.8,10.4,10.75,10.75,0.0,0.0,22308.83,23648.472999999998,-0.04
002286.SZ,20180126,11.0,11.19,10.74,10.98,10.75,0.23,2.14,60943.11,66721.924,-0.08
002286.SZ,20180129,10.85,10.85,10.45,10.45,10.98,-0.53,-4.83,20732.21,21949.653,-0.04
002286.SZ,20180130,10.5,10.53,10.21,10.4,10.45,-0.05,-0.48,18069.0,18649.161,-0.02
002286.SZ,20180131,10.26,10.58,10.19,10.48,10.4,0.08,0.77,32122.0,33492.255,-0.02
002286.SZ,20180201,10.22,10.48,9.43,10.4,10.48,-0.08,-0.76,74935.11,77198.90400000001,0.01
002286.SZ,20180202,10.16,10.34,9.5,10.01,10.4,-0.39,-3.75,57197.86,57262.14,0.07
002286.SZ,20180205,9.86,10.17,9.86,10.0,10.01,-0.01,-0.1,8830.0,8861.383,0.07
002286.SZ,20180206,10.0,10.0,9.6,9.98,10.0,-0.02,-0.2,23125.96,22964.787,0.05
002286.SZ,20180207,10.08,10.35,9.92,10.0,9.98,0.02,0.2,14021.06,14040.442,0.09
002286.SZ,20180208,10.44,10.48,10.13,10.29,10.0,0.29,2.9,17370.3,17950.241,0.08
002286.SZ,20180209,9.83,10.12,9.76,10.01,10.29,-0.28,-2.72,17601.02,17594.985,0.07
002286.SZ,20180212,10.1,10.16,9.92,10.06,10.01,0.05,0.5,6944.03,6971.734,0.08
002286.SZ,20180213,10.03,10.58,10.03,10.5,10.06,0.44,4.37,18963.94,19695.974,0.03
002286.SZ,20180214,10.34,10.5,10.2,10.31,10.5,-0.19,-1.81,11869.84,12260.832,0.04
002286.SZ,20180222,10.4,10.45,10.27,10.45,10.31,0.14,1.36,11895.01,12326.198999999999,0.04
002286.SZ,20180223,10.45,10.46,10.27,10.35,10.45,-0.1,-0.96,9162.0,9480.424,0.05
002286.SZ,20180226,10.35,10.6,10.31,10.58,10.35,0.23,2.22,16201.0,16965.137,0.04
002286.SZ,20180227,10.53,10.6,10.42,10.58,10.58,0.0,0.0,12355.56,12942.265,0.05
002286.SZ,20180228,10.57,10.57,10.42,10.46,10.58,-0.12,-1.13,8312.0,8712.449,0.05
002286.SZ,20180301,10.4,10.4,10.25,10.31,10.46,-0.15,-1.43,13995.48,14423.53,0.06
002286.SZ,20180302,10.34,10.34,10.06,10.11,10.31,-0.2,-1.94,13535.0,13714.148000000001,0.09
002286.SZ,20180305,10.1,10.13,9.98,10.08,10.11,-0.03,-0.3,9905.32,9935.21,0.07
002286.SZ,20180306,10.04,10.21,10.03,10.19,10.08,0.11,1.09,7276.85,7367.484,0.02
002286.SZ,20180307,10.2,10.32,10.13,10.28,10.19,0.09,0.88,13490.0,13800.835,0.02
002286.SZ,20180308,10.26,10.51,10.21,10.51,10.28,0.23,2.24,17200.66,17824.761000000002,0.02
002286.SZ,20180309,10.45,10.71,10.45,10.67,10.51,0.16,1.52,26527.5,28119.94,-0.01
002286.SZ,20180312,10.61,10.77,10.52,10.69,10.67,0.02,0.19,20642.57,21961.63,-0.01
002286.SZ,20180313,10.58,10.75,10.47,10.48,10.69,-0.21,-1.96,13304.0,14103.241000000002,-0.01
002286.SZ,20180314,10.49,10.87,10.41,10.87,10.48,0.39,3.72,33284.98,35689.747,-0.03
002286.SZ,20180315,10.86,11.43,10.71,11.11,10.87,0.24,2.21,47911.05,52879.394,-0.05
002286.SZ,20180316,11.07,11.07,10.76,10.76,11.11,-0.35,-3.15,27129.95,29524.629,-0.06
002286.SZ,20180319,10.77,10.89,10.49,10.84,10.76,0.08,0.74,17275.15,18491.68,-0.07
002286.SZ,20180320,10.75,10.83,10.66,10.77,10.84,-0.07,-0.65,10883.18,11704.601999999999,-0.06
002286.SZ,20180321,10.84,10.85,10.62,10.75,10.77,-0.02,-0.19,14027.2,15011.528999999999,-0.08
002286.SZ,20180322,10.73,10.96,10.61,10.92,10.75,0.17,1.58,24368.13,26144.807,-0.12
002286.SZ,20180323,10.75,10.96,10.61,10.83,10.92,-0.09,-0.82,26677.54,28722.07,-0.1
002286.SZ,20180326,10.72,11.06,10.31,11.05,10.83,0.22,2.03,31243.2,33904.169,-0.13
002286.SZ,20180327,11.18,11.18,10.88,11.09,11.05,0.04,0.36,40230.54,44505.307,-0.17
002286.SZ,20180328,11.09,11.12,10.82,11.03,11.09,-0.06,-0.54,24463.2,26858.134,-0.15
002286.SZ,20180329,11.0,11.05,10.87,10.92,11.03,-0.11,-1.0,17921.4,19610.318,-0.16
002286.SZ,20180330,10.79,11.13,10.79,11.03,10.92,0.11,1.01,20470.02,22636.818,-0.16
002286.SZ,20180402,11.02,11.08,10.71,10.75,11.03,-0.28,-2.54,26015.96,28228.127999999997,-0.12
002286.SZ,20180403,10.7,10.7,10.38,10.42,10.75,-0.33,-3.07,18785.66,19712.389,-0.08
002286.SZ,20180404,10.38,10.54,10.38,10.44,10.42,0.02,0.19,12409.54,12980.78,-0.07
002286.SZ,20180409,10.47,10.85,10.41,10.73,10.44,0.29,2.78,17828.63,19016.163,-0.11
002286.SZ,20180410,10.67,10.88,10.5,10.54,10.73,-0.19,-1.77,14462.48,15362.815,-0.09
002286.SZ,20180411,10.54,10.64,10.5,10.54,10.54,0.0,0.0,6382.48,6738.266,-0.1
002286.SZ,20180412,10.54,10.65,10.41,10.41,10.54,-0.13,-1.23,10507.52,11049.313999999998,-0.09
002286.SZ,20180413,10.47,10.57,10.47,10.5,10.41,0.09,0.86,8026.48,8429.746,-0.1
002286.SZ,20180416,10.56,10.71,10.47,10.51,10.5,0.01,0.1,9509.92,10059.192,-0.1
002286.SZ,20180417,10.53,10.68,9.98,10.16,10.51,-0.35,-3.33,13804.9,14248.937,-0.09
002286.SZ,20180418,10.01,10.26,9.91,10.06,10.16,-0.1,-0.98,14121.77,14182.844,-0.07
002286.SZ,20180419,10.06,10.16,9.97,10.1,10.06,0.04,0.4,10172.0,10245.351999999999,-0.06
002286.SZ,20180420,10.1,10.1,9.91,9.94,10.1,-0.16,-1.58,9090.0,9078.766,-0.05
002286.SZ,20180423,9.94,9.94,9.57,9.61,9.94,-0.33,-3.32,13384.02,13011.757,-0.03
002286.SZ,20180424,9.75,9.88,9.6,9.7,9.61,0.09,0.94,12554.0,12195.348999999998,-0.04
002286.SZ,20180425,9.7,9.7,9.49,9.6,9.7,-0.1,-1.03,17965.06,17211.758,-0.03
002286.SZ,20180426,9.6,9.6,9.15,9.15,9.6,-0.45,-4.69,31177.76,28952.052000000003,0.0
002286.SZ,20180427,9.2,9.33,9.17,9.33,9.15,0.18,1.97,12347.0,11440.839,-0.02
002286.SZ,20180502,9.25,9.37,9.18,9.18,9.33,-0.15,-1.61,12164.0,11273.01,-0.03
002286.SZ,20180503,9.17,9.3,8.99,9.25,9.18,0.07,0.76,19521.23,17724.02,-0.03
002286.SZ,20180504,9.17,9.49,9.17,9.41,9.25,0.16,1.73,15036.38,14062.45,-0.06
002286.SZ,20180507,9.37,9.67,9.36,9.59,9.41,0.18,1.91,15591.33,14896.893,-0.07
002286.SZ,20180508,9.66,9.74,9.53,9.68,9.59,0.09,0.94,11349.76,10916.316,-0.06
002286.SZ,20180509,9.7,9.7,9.44,9.5,9.68,-0.18,-1.86,14134.01,13473.356000000002,0.01
002286.SZ,20180510,9.6,9.62,9.48,9.58,9.5,0.08,0.84,13073.0,12508.245,0.03
002286.SZ,20180511,9.53,9.67,9.51,9.52,9.58,-0.06,-0.63,7709.23,7382.531,0.02
002286.SZ,20180514,9.6,9.62,9.36,9.44,9.52,-0.08,-0.84,9463.0,8940.221,-0.0
002286.SZ,20180515,9.4,9.54,9.34,9.5,9.44,0.06,0.64,9479.84,8966.264000000001,0.02
002286.SZ,20180516,9.47,9.63,9.2,9.48,9.5,-0.02,-0.21,16899.75,15925.875,0.05
002286.SZ,20180517,9.4,9.4,9.17,9.2,9.48,-0.28,-2.95,17009.71,15722.646999999999,0.07
002286.SZ,20180518,9.16,9.33,9.15,9.31,9.2,0.11,1.2,10541.81,9775.85,0.06
002286.SZ,20180521,9.35,9.53,9.35,9.46,9.31,0.15,1.61,14018.94,13267.072,-0.02
002286.SZ,20180522,9.53,9.53,9.37,9.47,9.46,0.01,0.11,9776.95,9224.732,-0.01
002286.SZ,20180523,9.48,9.51,9.31,9.31,9.47,-0.16,-1.69,9278.04,8713.424,-0.03
002286.SZ,20180524,9.33,9.42,9.26,9.34,9.31,0.03,0.32,8662.0,8066.968000000001,-0.02
002286.SZ,20180525,9.3,9.36,9.25,9.3,9.34,-0.04,-0.43,11199.02,10415.103000000001,-0.03
002286.SZ,20180528,9.3,9.3,9.15,9.16,9.3,-0.14,-1.51,9684.23,8922.62,0.01
002286.SZ,20180529,9.16,9.27,9.11,9.16,9.16,0.0,0.0,11017.08,10104.425,-0.01
002286.SZ,20180530,9.09,9.09,8.85,8.86,9.16,-0.3,-3.28,12702.5,11349.846000000001,0.01
002286.SZ,20180531,8.79,9.08,8.74,8.94,8.77,0.17,1.94,10297.51,9145.747,0.03
002286.SZ,20180601,8.86,9.0,8.8,8.82,8.94,-0.12,-1.34,9464.32,8408.935,0.05
002286.SZ,20180604,8.84,8.95,8.7,8.94,8.82,0.12,1.36,13413.91,11844.818000000001,0.05
002286.SZ,20180605,8.85,9.08,8.82,9.07,8.94,0.13,1.45,11000.58,9844.255,0.03
002286.SZ,20180606,9.08,9.95,8.92,9.57,9.07,0.5,5.51,41061.77,38861.286,-0.05
002286.SZ,20180607,9.53,9.86,9.47,9.82,9.57,0.25,2.61,35239.8,34286.204,-0.07
002286.SZ,20180608,9.64,9.89,9.61,9.67,9.82,-0.15,-1.53,21269.45,20708.992,-0.05
002286.SZ,20180611,9.5,9.65,9.24,9.41,9.67,-0.26,-2.69,17330.62,16288.713,-0.02
002286.SZ,20180612,9.44,9.87,9.31,9.7,9.41,0.29,3.08,27187.14,26041.737,-0.07
002286.SZ,20180613,9.68,10.15,9.6,9.92,9.7,0.22,2.27,56176.76,55772.861,-0.08
002286.SZ,20180614,9.91,10.05,9.75,9.8,9.92,-0.12,-1.21,17515.0,17288.638,-0.06
002286.SZ,20180615,9.83,9.96,9.52,9.9,9.8,0.1,1.02,21577.67,21037.432999999997,-0.08
002286.SZ,20180619,9.69,9.9,8.91,9.3,9.9,-0.6,-6.06,30566.48,29049.621,-0.03
002286.SZ,20180620,9.12,9.5,9.09,9.39,9.3,0.09,0.97,15279.0,14161.598,-0.05
002286.SZ,20180621,9.37,9.46,9.06,9.07,9.39,-0.32,-3.41,12823.09,11885.323,-0.03
002286.SZ,20180622,8.92,9.28,8.92,9.19,9.07,0.12,1.32,8103.58,7392.066999999999,-0.03
002286.SZ,20180625,9.2,9.29,9.01,9.04,9.19,-0.15,-1.63,8732.1,7967.2919999999995,-0.02
002286.SZ,20180626,8.99,9.23,8.83,9.23,9.04,0.19,2.1,11886.67,10773.836000000001,-0.03
002286.SZ,20180627,9.27,9.27,9.03,9.1,9.23,-0.13,-1.41,10921.0,9965.601,-0.02
002286.SZ,20180628,9.0,9.22,8.91,8.91,9.1,-0.19,-2.09,8150.0,7381.847,0.02
